"timestamp","date","activity","hour"
"2003-06-03 11:59:00","2003-06-03",510,"11"
"2003-06-03 12:00:00","2003-06-03",637,"12"
"2003-06-03 12:01:00","2003-06-03",598,"12"
"2003-06-03 12:02:00","2003-06-03",251,"12"
"2003-06-03 12:03:00","2003-06-03",93,"12"
"2003-06-03 12:04:00","2003-06-03",180,"12"
"2003-06-03 12:05:00","2003-06-03",199,"12"
"2003-06-03 12:06:00","2003-06-03",526,"12"
"2003-06-03 12:07:00","2003-06-03",251,"12"
"2003-06-03 12:08:00","2003-06-03",544,"12"
"2003-06-03 12:09:00","2003-06-03",142,"12"
"2003-06-03 12:10:00","2003-06-03",220,"12"
"2003-06-03 12:11:00","2003-06-03",408,"12"
"2003-06-03 12:12:00","2003-06-03",286,"12"
"2003-06-03 12:13:00","2003-06-03",276,"12"
"2003-06-03 12:14:00","2003-06-03",315,"12"
"2003-06-03 12:15:00","2003-06-03",234,"12"
"2003-06-03 12:16:00","2003-06-03",147,"12"
"2003-06-03 12:17:00","2003-06-03",286,"12"
"2003-06-03 12:18:00","2003-06-03",108,"12"
"2003-06-03 12:19:00","2003-06-03",78,"12"
"2003-06-03 12:20:00","2003-06-03",434,"12"
"2003-06-03 12:21:00","2003-06-03",679,"12"
"2003-06-03 12:22:00","2003-06-03",163,"12"
"2003-06-03 12:23:00","2003-06-03",35,"12"
"2003-06-03 12:24:00","2003-06-03",2,"12"
"2003-06-03 12:25:00","2003-06-03",14,"12"
"2003-06-03 12:26:00","2003-06-03",11,"12"
"2003-06-03 12:27:00","2003-06-03",2,"12"
"2003-06-03 12:28:00","2003-06-03",19,"12"
"2003-06-03 12:29:00","2003-06-03",69,"12"
"2003-06-03 12:30:00","2003-06-03",32,"12"
"2003-06-03 12:31:00","2003-06-03",47,"12"
"2003-06-03 12:32:00","2003-06-03",220,"12"
"2003-06-03 12:33:00","2003-06-03",15,"12"
"2003-06-03 12:34:00","2003-06-03",168,"12"
"2003-06-03 12:35:00","2003-06-03",347,"12"
